Hour,no_service,Total_Request,not_serving_rate
0,12565,19313,65.05980428
1,2755,10052,27.4074811
2,606,6070,9.983525535
3,282,3725,7.570469799
4,257,2567,10.01168679
5,108,1887,5.723370429
6,230,2728,8.431085044
7,3291,8707,37.79717469
8,7950,15405,51.60662123
9,12737,21036,60.54858338
10,13598,22339,60.87112225
11,10905,19942,54.68358239
12,9102,18397,49.47545796
13,10031,19389,51.73552014
14,10001,19485,51.32666153
15,10392,19383,53.61399164
16,8623,17988,47.9375139
17,5242,14773,35.48365261
18,9992,19137,52.21299054
19,16374,25012,65.464577
20,18226,26576,68.58067429
21,16350,24209,67.53686645
22,15402,22763,67.66243465
23,15083,22186,67.98431443
